,Madrigal,Composer single madrigal,Voices,Keywords,Composer collection,Keywords_en
236,Lagrime d'amante al sepolcro dell'amata.,Claudio Monteverdi,,"['lagrime', ""d'amante"", 'sepolcro', ""dell'amata""]",,"['lover', 'tears', 'sepulcher', 'beloved']"
237,Tu dormi,Claudio Monteverdi,4,['dormi'],,['slept']
238,Ninpha gentil,Ginés de Morata,4,"['ninpha', 'gentil']",,"['ninpha', 'gentil']"
239,"Ach, wie April ist ihr Gesicht",Thomas Morley,3; 4,"['ach', 'april', 'gesicht']",,"['ah', 'face', 'like', 'april']"
240," Ob ihr wohl wisst, wovon die Liebe blind ward",Thomas Morley,3; 4,"['wohl', 'wisst', 'wovon', 'liebe', 'blind', 'ward']",,"['know', 'made', 'love', 'blind?']"
241,It was a Lover and his Lass,Thomas Morley,4,"['lover', 'lass']",,"['lover', 'lass']"
242,"Fire, fire! my Heart.",Thomas Morley,5,"['fire', 'fire', 'heart']",,"['fire', 'fire', 'heart']"
243,I love alas! I love thee.,Thomas Morley,5,"['love', 'alas', 'love', 'thee']",,"['love', 'alas', 'love', 'thee']"
244,I saw my lovely Phillis.,Thomas Morley,5,"['saw', 'lovely', 'phillis']",,"['saw', 'lovely', 'phillis']"
245,"Lady, those Cherries plenty.",Thomas Morley,,"['lady', 'cherries', 'plenty']",,"['lady', 'cherries', 'plenty']"
246,My bonny lass she smileth,Thomas Morley,5,"['bonny', 'lass', 'smileth']",,"['bonny', 'lass', 'smileth']"
247,Now is the month of Maying,Thomas Morley,,"['month', 'maying']",,"['month', 'maying']"
248,"Phillis, I faine wold die now",Thomas Morley,7,"['phillis', 'faine', 'wold']",,"['phillis', 'faine', 'wold']"
249,What saith my dainty Darling?,Thomas Morley,5,"['saith', 'dainty', 'darling?']",,"['saith', 'dainty', 'darling?']"
250,"I follow, lo! the Footing.",Thomas Morley,5,"['follow', 'footing']",,"['follow', 'footing']"
251,Lo! where with flow'ry Head,Thomas Morley,5,"[""flow'ry"", 'head']",,"[""flow'ry"", 'head']"
252,April is in my Mistress' Face,Thomas Morley,4,"['april', 'mistress', 'face']",,"['april', 'mistress', 'face']"
253,"Clorinda false, adieu",Thomas Morley,4,"['clorinda', 'false', 'adieu']",,"['clorinda', 'false', 'goodbye']"
254,"Come, Lovers, follow me",Thomas Morley,4,"['lovers', 'follow']",,"['lovers', 'follow']"
255,Now is the gentle season,Thomas Morley,4,"['gentle', 'season']",,"['gentle', 'season']"
256,"Hark, jolly Shepherds.",Thomas Morley,4,"['hark', 'jolly', 'shepherds']",,"['hark', 'jolly', 'shepherds']"
257,"Hoe, who comes here?",Thomas Morley,4,"['hoe', 'comes', 'here?']",,"['hoe', 'comes', 'here?']"
258,I will no more come to thee,Thomas Morley,4,['thee'],,['thee']
259,In dewe of roses,Thomas Morley,4,"['dewe', 'roses']",,"['dewe', 'roses']"
260,In every place,Thomas Morley,4,"['every', 'place']",,"['every', 'place']"
261,"Lady, why grieve you still mee?",Thomas Morley,4,"['lady', 'grieve', 'still', 'mee?']",,"['lady', 'grieve', 'still', 'mee?']"
262,Round about a wood,Thomas Morley,4,"['round', 'wood']",,"['round', 'wood']"
263,"Say, gentle nymphes",Thomas Morley,4,"['say', 'gentle', 'nymphes']",,"['say', 'gentle', 'nymphes']"
264,Since my teares and lamenting,Thomas Morley,4,"['since', 'teares', 'lamenting']",,"['since', 'teares', 'lamenting']"
265,"Arise, awake, you silly shepherds sleeping",Thomas Morley,5,"['arise', 'awake', 'silly', 'shepherds', 'sleeping']",,"['arise', 'awake', 'silly', 'shepherds', 'sleeping']"
266,Hard by a crystal Fountain.,Thomas Morley,6,"['hard', 'crystal', 'fountain']",,"['hard', 'crystal', 'fountain']"
267,Dolci alpestre parole,Giovanni Battista Mosto,5,"['dolci', 'alpestre', 'parole']",,"['sweet', 'alpine', 'words']"
268,Lightly she tripped o'er the Dales.,John Mundy,5,"['lightly', 'tripped', ""o'er"", 'dales']",,"['lightly', 'tripped', ""o'er"", 'dales']"
269,Vienn' Himeneo,Giovanni Maria Nanino,5,"['vienn', 'himeneo']",,"['vienn', 'hymeneus']"
270,Thus musing.,William Newark,3,"['thus', 'musing']",,"['thus', 'musing']"
271,"Joane, quoth John",Richard Nicolson,2,"['joane', 'quoth', 'john']",,"['joane', 'quoth', 'john']"
272,"Sing, Shepherds all",Richard Nicolson,5,"['sing', 'shepherds']",,"['sing', 'shepherds']"
273,Spring comes again (Cuckoo).,Richard Nicolson,5,"['spring', 'comes', '(cuckoo)']",,"['spring', 'comes', '(cuckoo)']"
274,With Angel's Face and Brightness,Daniel Norcome,5,"['angel', 'face', 'brightness']",,"['angel', 'face', 'brightness']"
275,Hor che soave l'aura.,Alessandro Orologio,5,"['hor', 'soave', ""l'aura""]",,"['hor', 'soave']"
276,Dat ick betovert ben,Cornelis Thymanszoon Padbrué,4,"['dat', 'ick', 'betovert', 'ben']",,"[""i'm"", 'enchanted']"
277,Alla riva del Tebro,Giovanni Pierluigi da Palestrina,4,"['riva', 'tebro']",,"['bank', 'tebro']"
278,Alla riva del Tebro,Giovanni Pierluigi da Palestrina,4,"['riva', 'tebro']",,"['bank', 'tebro']"
279,"Amor, ben puoi",Giovanni Pierluigi da Palestrina,4,"['amor', 'ben', 'puoi']",,"['love', 'well']"
280,Gioia m' abond' alcor,Giovanni Pierluigi da Palestrina,4,"['gioia', 'm', 'abond', 'alcor']",,"['gioia', 'm', 'abond', 'alcor']"
281,"Ogni beltà, madona",Giovanni Pierluigi da Palestrina,4,"['ogni', 'beltà', 'madona']",,"['every', 'beauty', 'madona']"
282,I vaghi fiori,Giovanni Pierluigi da Palestrina,4,"['vaghi', 'fiori']",,"['vague', 'flowers']"
283,Veramente in amore,Giovanni Pierluigi da Palestrina,4,"['veramente', 'amore']",,"['truly', 'love']"
284,Specchio che fosti,Giovanni Pierluigi da Palestrina,,['specchio'],,['mirror']
285,Quando dal terzo cielo,Giovanni Pierluigi da Palestrina,6,"['quando', 'terzo', 'cielo']",,"['third', 'heaven']"
286,Quando dal terzo cielo,Giovanni Pierluigi da Palestrina,6,"['quando', 'terzo', 'cielo']",,"['third', 'heaven']"
287,Se di pianti e di stridi,Giovanni Pierluigi da Palestrina,5,"['pianti', 'stridi']",,"['tears', 'screeches']"
288,Soave fia il morir,Giovanni Pierluigi da Palestrina,5,"['soave', 'fia', 'morir']",,"['death', 'sweet']"
289,Soave fia il morir,Giovanni Pierluigi da Palestrina,5,"['soave', 'fia', 'morir']",,"['death', 'sweet']"
290,Send forth thy Sighes.,Nathaniel Patrick,5,"['send', 'forth', 'thy', 'sighes']",,"['send', 'forth', 'thy', 'sighes']"
291,Dispiegate guancie amate,Peter Philips,8,"['dispiegate', 'guancie', 'amate']",,"['spread', 'beloved', 'cheeks']"
292,"Amor, che vuoi",Peter Philips,6,"['amor', 'vuoi']",,"['love', 'want']"
293,The Nightingale.,Peter Philips,5,['nightingale'],,['nightingale']
294,A Shepherd with his bonny love,Francis Pilkington,4,"['shepherd', 'bonny', 'love']",,"['shepherd', 'bonny', 'love']"
295,Have I found her.,Francis Pilkington,,['found'],,['found']
296,The Messenger of the delightful Spring.,Francis Pilkington,,"['messenger', 'delightful', 'spring']",,"['messenger', 'delightful', 'spring']"
297,Sweet Phillida.,Francis Pilkington,,"['sweet', 'phillida']",,"['sweet', 'phillida']"
298,When Oriana walk'd to take the Air.,Francis Pilkington,5,"['oriana', ""walk'd"", 'take', 'air']",,"['oriana', ""walk'd"", 'take', 'air']"
299,Ah me she frowns,Francis Pilkington,4,"['ah', 'frowns']",,"['ah', 'frowns']"
300,I sigh still doomed,Francis Pilkington,4,"['sigh', 'still', 'doomed']",,"['sigh', 'still', 'doomed']"
301,Now let her change and spare not,Francis Pilkington,,"['let', 'change', 'spare']",,"['let', 'change', 'spare']"
302,"Now peep, bo-peep",Francis Pilkington,4,"['peep', 'bo', 'peep']",,"['peep', 'bo', 'peep']"
303,"Lady fair, let golden sleep",Francis Pilkington,4,"['lady', 'fair', 'let', 'golden', 'sleep']",,"['lady', 'fair', 'let', 'golden', 'sleep']"
304,Al suon d'amata,Lucretio Quintiani,5,"['suon', ""d'amata""]",,"['sound', 'love']"
305,Long ago my Heart I gave.,Robert Ramsey,5,"['long', 'ago', 'heart', 'gave']",,"['long', 'ago', 'heart', 'gave']"
306,O how fortunate.,Robert Ramsey,5,['fortunate'],,['fortunate']
307,"Sleep, fleshly Birth",Robert Ramsey,6,"['sleep', 'fleshly', 'birth']",,"['sleep', 'fleshly', 'birth']"
308,Can'st thou love and live alone,Thomas Ravenscroft,,"['thou', 'love', 'live', 'alone']",,"['thou', 'love', 'live', 'alone']"
309,"Wohlauf, ihr lieben Gäste.",Thomas Sartorius,,"['wohlauf', 'lieben', 'gäste']",,"['well', 'done', 'dear', 'guests']"
310,The Waitts.,Jeremy Savile,,['waitts'],,['waitts']
311,Arsi un tempo.,Alessandro Scarlatti,5,"['arsi', 'tempo']",,['burned']
312,"Cor mio, deh non languire.",Alessandro Scarlatti,5,"['cor', 'deh', 'languire']",,"['heart', 'please', 'languish']"
313,"Intenerite voi, lacrime mie.",Alessandro Scarlatti,5,"['intenerite', 'lacrime']",,"['soften', 'tears']"
314,O morte.,Alessandro Scarlatti,5,['morte'],,['death']
315,"O selce, o tigre, o ninfa",Alessandro Scarlatti,5,"['selce', 'tigre', 'ninfa']",,"['selce', 'tiger', 'nymph']"
316,"Or che da te, mio bene.",Alessandro Scarlatti,4,['bene'],,['good']
317,Sdegno la fiamma estinse.,Alessandro Scarlatti,5,"['sdegno', 'fiamma', 'estinse']",,"['outrage', 'flame', 'extinguished']"
318,Fontana d'Israel,Johann Hermann Schein,5; 6,"['fontana', ""d'israel""]",,"['fontana', ""d'israel""]"
319,Ein edler Jäger wohlgemut.,Melchior Schramm,,"['edler', 'jäger', 'wohlgemut']",,"['noble', 'hunter', 'ease']"
320,"Ach Herr, du Schöpfer aller Ding.",Heinrich Schütz,6,"['ach', 'herr', 'schöpfer', 'ding']",,"['oh', 'lord', 'creator', 'things']"
321,Ride la primavera,Heinrich Schütz,5,"['ride', 'primavera']",,"['spring', 'laughs']"
322,Es woll't [sic] ein Maidlein Wasser hol'n,Ludwig Senfl,,"[""woll't"", '[sic]', 'maidlein', 'wasser', ""hol'n""]",,"['damsel', 'wanted', 'fetch', 'water']"
323, Ich klag' den Tag.,Ludwig Senfl,,"['klag', 'tag']",,"['lament', 'day']"
324,Song of the Shepherd.,Ludwig Senfl,4,"['song', 'shepherd']",,"['song', 'shepherd']"
325,Anchor che col partire.,Giovanni Battista Spadi,,"['anchor', 'partire']",,"['anchor', 'leaving']"
326,Vieni soave e dilettoso Maggio,Bartolomeo Spontone,4,"['vieni', 'soave', 'dilettoso', 'maggio']",,"['sweet', 'delightful', 'may']"
327,Gettano i rè dal soglio,Agostino Steffani,5,"['gettano', 'rè', 'soglio']",,"['throw', 'kings', 'throne']"
328,A Bird on the Hedgerow did sit,Johann Stephani,5,"['bird', 'hedgerow', 'sit']",,"['bird', 'hedgerow', 'sit']"
329,Che fera fed al cielo,Alessandro Striggio,,"['fera', 'fed', 'cielo']",,"['fera', 'fed', 'sky']"
330,Non rumor di tamburi,Alessandro Striggio,,"['rumor', 'tamburi']",,"['sound', 'drums']"
331,Vous en riez,Albert Subra,,['riez'],,['laugh']
332,Madonna con questi occhi.,Jan Pieterszoon Sweelinck,,"['madonna', 'occhi']",,"['madonna', 'eyes']"
333,Poi che voi non volete.,Jan Pieterszoon Sweelinck,,"['poi', 'volete']",,['want']
334,"Begl' occhi, mercè",Antonio Francesco Tenaglia,,"['begl', 'occhi', 'mercè']",,"['nice', 'eyes', 'thank']"
335,Ma se un moto',Antonio Francesco Tenaglia,,['moto'],,['motorbike']
336,The Fauns and Satyrs tripping.,Thomas Tomkins,5,"['fauns', 'satyrs', 'tripping']",,"['fauns', 'satyrs', 'tripping']"
337,O let me live for true Love,Thomas Tomkins,4,"['let', 'live', 'true', 'love']",,"['let', 'live', 'true', 'love']"
338,"O yes, has any found a Lad",Thomas Tomkins,4,"['yes', 'found', 'lad']",,"['yes', 'found', 'lad']"
339,Sure there is no God of Love,Thomas Tomkins,3,"['sure', 'god', 'love']",,"['sure', 'god', 'love']"
340,Enforce yourself as God's own Knight.,Edmund Turges,3,"['enforce', 'god', 'knight']",,"['enforce', 'god', 'knight']"
341,La Verginella,Pietro Valenzola,5,['verginella'],,['virgin']
342,"Mother, I will have a Husband",Thomas Vautor,,"['mother', 'husband']",,"['mother', 'husband']"
343,Shepherds and Nymphs,Thomas Vautor,6,"['shepherds', 'nymphs']",,"['shepherds', 'nymphs']"
344,Sweet Suffolk Owl.,Thomas Vautor,,"['sweet', 'suffolk', 'owl']",,"['sweet', 'suffolk', 'owl']"
345,Il Bianco e dolce cigno,Orazio Vecchi,5,"['bianco', 'dolce', 'cigno']",,"['white', 'sweet', 'swan']"
346,"Phillida, come tell to me.",Orazio Vecchi,5,"['phillida', 'tell']",,"['phillida', 'tell']"
347,Under a willow lying.,Orazio Vecchi,5,"['willow', 'lying']",,"['willow', 'lying']"
348,Amarillis! fair as Lillies.,Orazio Vecchi,5,"['amarillis', 'fair', 'lillies']",,"['amaryllis', 'fair', 'lilies']"
349,"Pastorella, graziosella",Orazio Vecchi,5,"['pastorella', 'graziosella']",,"['shepherdess', 'pretty']"
350,Dolce Amarilli,Paolo Virchi,5,"['dolce', 'amarilli']",,"['sweet', 'amarilli']"
351,Ye singers all,Hubert Waelrant,,"['ye', 'singers']",,"['ye', 'singers']"
352,O'er desert plains and rushy moors,Hubert Waelrant,4,"[""o'er"", 'desert', 'plains', 'rushy', 'moors']",,"[""o'er"", 'desert', 'plains', 'rushy', 'moors']"
353,Hard by a fountain,Hubert Waelrant,,"['hard', 'fountain']",,"['hard', 'fountain']"
354,Winter Song.,Hubert Waelrant,3,"['winter', 'song']",,"['winter', 'song']"
355,Hope of my Heart.,John Ward,5,"['hope', 'heart']",,"['hope', 'heart']"
356,"O my Thoughts, my Thoughts, surcease",John Ward,4,"['thoughts', 'thoughts', 'surcease']",,"['thoughts', 'thoughts', 'surcease']"
357,A Satyr once did run away,John Ward,4,"['satyr', 'run', 'away']",,"['satyr', 'run', 'away']"
358,Upon a Bank with Roses.,John Ward,5,"['upon', 'bank', 'roses']",,"['upon', 'bank', 'roses']"
359,As Vesta was from Latmos Hill descending.,Thomas Weelkes,6,"['vesta', 'latmos', 'hill', 'descending']",,"['vesta', 'latmos', 'hill', 'descending']"
360,The Nightingale.,Thomas Weelkes,4,['nightingale'],,['nightingale']
361,In Pride of May,Thomas Weelkes,5,"['pride', 'may']",,"['pride', 'may']"
362,In Pride of May.,Thomas Weelkes,,"['pride', 'may']",,"['pride', 'may']"
363,"Ladie, your eye my love enforced",Thomas Weelkes,5,"['ladie', 'eye', 'love', 'enforced']",,"['ladie', 'eye', 'love', 'enforced']"
364,To shorten Winter's Sadness,Thomas Weelkes,,"['shorten', 'winter', 'sadness']",,"['shorten', 'winter', 'sadness']"
365,Welcome sweet pleasure.,Thomas Weelkes,,"['welcome', 'sweet', 'pleasure']",,"['welcome', 'sweet', 'pleasure']"
366,"Welcome, sweet Pleasure",Thomas Weelkes,5,"['welcome', 'sweet', 'pleasure']",,"['welcome', 'sweet', 'pleasure']"
367, Crowned with roses,Thomas Weelkes,5,"['crowned', 'roses']",,"['crowned', 'roses']"
368,"Welcome, sweet Pleasure.",Thomas Weelkes,,"['welcome', 'sweet', 'pleasure']",,"['welcome', 'sweet', 'pleasure']"
369,"Aye me, my wonted Joys",Thomas Weelkes,3; 4; 5; 6,"['aye', 'wonted', 'joys']",,"['aye', 'wonted', 'joys']"
370,"Cease, Sorrows, now.",Thomas Weelkes,3; 4; 5; 6,"['cease', 'sorrows']",,"['cease', 'sorrows']"
371,If thy deceitful Looks,Thomas Weelkes,3; 4; 5; 6,"['thy', 'deceitful', 'looks']",,"['thy', 'deceitful', 'looks']"
372,"Lady, your spotless Feature.",Thomas Weelkes,3; 4; 5; 6,"['lady', 'spotless', 'feature']",,"['lady', 'spotless', 'feature']"
373,"Loe, Countrie Sports.",Thomas Weelkes,3; 4; 5; 6,"['loe', 'countrie', 'sports']",,"['low', 'country', 'sports']"
374,"Make haste, ye lovers!",Thomas Weelkes,3; 4; 5; 6,"['make', 'haste', 'ye', 'lovers']",,"['make', 'haste', 'ye', 'lovers']"
375,Our Country Swains.,Thomas Weelkes,3; 4; 5; 6,"['country', 'swains']",,"['country', 'swains']"
376,"Say, Dear, when will your Frowning?",Thomas Weelkes,3; 4; 5; 6,"['say', 'dear', 'frowning?']",,"['say', 'dear', 'frowning?']"
377,Those Spots upon my Lady's Face.,Thomas Weelkes,3; 4; 5; 6,"['spots', 'upon', 'lady', 'face']",,"['spots', 'upon', 'lady', 'face']"
378,Those sweet delightful Lilies.,Thomas Weelkes,3; 4; 5; 6,"['sweet', 'delightful', 'lilies']",,"['sweet', 'delightful', 'lilies']"
379,Young Cupid.,Thomas Weelkes,3; 4; 5; 6,"['young', 'cupid']",,"['young', 'cupid']"
380,As wanton Birds.,Thomas Weelkes,5,"['wanton', 'birds']",,"['wanton', 'birds']"
381,Cold winter's ice is fled,Thomas Weelkes,5,"['cold', 'winter', 'ice', 'fled']",,"['cold', 'winter', 'ice', 'fled']"
382,"Lady, the birds right fairly",Thomas Weelkes,5,"['lady', 'birds', 'right', 'fairly']",,"['lady', 'birds', 'right', 'fairly']"
383,Like two proud armies.,Thomas Weelkes,5,"['like', 'two', 'proud', 'armies']",,"['like', 'two', 'proud', 'armies']"
384,Mars in a Fury,Thomas Weelkes,6,"['mars', 'fury']",,"['mars', 'fury']"
385,Now let us make a merry greeting,Thomas Weelkes,,"['let', 'us', 'make', 'merry', 'greeting']",,"['let', 'us', 'make', 'merry', 'greeting']"
386,"Thule, the Period of Cosmography",Thomas Weelkes,6,"['thule', 'period', 'cosmography']",,"['thule', 'period', 'cosmography']"
387,When Thoralis delights to walk.,Thomas Weelkes,,"['thoralis', 'delights', 'walk']",,"['thoralis', 'delights', 'walk']"
388,Chi salira per me,Giaches de Wert,4,['salira'],,['go']
389,The Lady Oriana.,John Wilbye,6,"['lady', 'oriana']",,"['lady', 'oriana']"
390,"Adieu, sweet Amarillis.",John Wilbye,4,"['adieu', 'sweet', 'amarillis']",,"['adieu', 'sweet', 'amarillis']"
391,Alas! what Hope of Speeding.,John Wilbye,4,"['alas', 'hope', 'speeding']",,"['alas', 'hope', 'speeding']"
392,Away! thou shalt not love me.,John Wilbye,,"['away', 'thou', 'shalt', 'love']",,"['away', 'thou', 'shalt', 'love']"
393,Ay me! can every Rumour?,John Wilbye,,"['ay', 'every', 'rumour?']",,"['ay', 'every', 'rumour?']"
394,"Dear Pity, how? ah how?",John Wilbye,,"['dear', 'pity', 'how?', 'ah', 'how?']",,"['dear', 'pity', 'how?', 'ah', 'how?']"
395,Flora gave me fairest Flowers.,John Wilbye,,"['flora', 'gave', 'fairest', 'flowers']",,"['flora', 'gave', 'fairest', 'flowers']"
396,"Lady, when I behold",John Wilbye,6,"['lady', 'behold']",,"['lady', 'behold']"
397,"Sweet love, if thou wilt gaine a monarches glory",John Wilbye,6,"['sweet', 'love', 'thou', 'wilt', 'gaine', 'monarches', 'glory']",,"['sweet', 'love', 'thou', 'wilt', 'gaine', 'monarches', 'glory']"
398,"Thou art but young, thou say'st",John Wilbye,6,"['thou', 'art', 'young', 'thou', 'say']",,"['thou', 'art', 'young', 'thou', 'say']"
399,Thus saith my Cloris bright.,John Wilbye,4,"['thus', 'saith', 'cloris', 'bright']",,"['thus', 'saith', 'cloris', 'bright']"
400,What needeth all this Travail.,John Wilbye,4,"['needeth', 'travail']",,"['needeth', 'travail']"
401,What needeth all this Travail,John Wilbye,4,"['needeth', 'travail']",,"['needeth', 'travail']"
402,When shall my wretched Life.,John Wilbye,6,"['shall', 'wretched', 'life']",,"['shall', 'wretched', 'life']"
403,Why dost thou shoot?,John Wilbye,6,"['dost', 'thou', 'shoot?']",,"['dost', 'thou', 'shoot?']"
404,As fair as Morn.,John Wilbye,,"['fair', 'morn']",,"['fair', 'morn']"
405,As matchless Beauty.,John Wilbye,,"['matchless', 'beauty']",,"['matchless', 'beauty']"
406,"Come, Shepherd Swains.",John Wilbye,,"['shepherd', 'swains']",,"['shepherd', 'swains']"
407,Down in a Valley,John Wilbye,,['valley'],,['valley']
408,Down in a Valley,John Wilbye,5,['valley'],,['valley']
409,"Draw on, sweet Night.",John Wilbye,6,"['draw', 'sweet', 'night']",,"['draw', 'sweet', 'night']"
410,"Fly not so swift, my Dear.",John Wilbye,,"['fly', 'swift', 'dear']",,"['fly', 'swift', 'dear']"
411,"Happy, oh, happy he.",John Wilbye,,"['happy', 'oh', 'happy']",,"['happy', 'oh', 'happy']"
412,Happy Streams.,John Wilbye,,"['happy', 'streams']",,"['happy', 'streams']"
413,Love not me for comely Grace.,John Wilbye,4,"['love', 'comely', 'grace']",,"['love', 'comely', 'grace']"
414,O wretched Man.,John Wilbye,,['wretched'],,['wretched']
415,Sweet honey-sucking Bees.,John Wilbye,5,"['sweet', 'honey', 'sucking', 'bees']",,"['sweet', 'honey', 'sucking', 'bees']"
416,When Cloris heard of her Amintas dying.,John Wilbye,,"['cloris', 'heard', 'amintas', 'dying']",,"['cloris', 'heard', 'amintas', 'dying']"
417,Ye that do live in Pleasures plenty.,John Wilbye,5,"['ye', 'live', 'pleasures', 'plenty']",,"['ye', 'live', 'pleasures', 'plenty']"
418,Si ch'ove prim,Gioseffo Zarlino,,"[""ch'ove"", 'prim']",,"[""ch'ove"", 'prim']"
419,"Come, sable night",John Ward,6,"['sable', 'night']",,"['sable', 'night']"
420,"Vieni, vieni, Himeneo",Andrea Gabrieli,8,"['vieni', 'vieni', 'himeneo']",,['himeneo']
421,"Chiome d'oro, bel thesoro",Claudio Monteverdi,,"['chiome', ""d'oro"", 'bel', 'thesoro']",,"['golden', 'hair', 'beautiful', 'treasure']"
422,Lamento della Ninfa,Claudio Monteverdi,,"['lamento', 'ninfa']",,"['lament', 'nymph']"
423,Ninfa che scalza il piede,Claudio Monteverdi,4,"['ninfa', 'scalza', 'piede']",,"['nymph', 'barefoot']"
424,Tempro la cetra,Claudio Monteverdi,,"['tempro', 'cetra']",,"['temper', 'zither']"
425,"Vorrei baciarti, o Filli",Claudio Monteverdi,2,"['vorrei', 'baciarti', 'filli']",,"['would', 'like', 'kiss', 'filli']"
426,"Vasto mar, nel cui seno",Heinrich Schütz,4,"['vasto', 'mar', 'seno']",,"['vasto', 'mar', 'whose', 'bosom']"
427,Italia mia,Philippe Verdelot,5,['italia'],,['italy']
428,Dormendo un giorno,Jacob Arcadelt,3,"['dormendo', 'giorno']",,"['sleeping', 'one', 'day']"
429,Ave Virgo sanctissima,Francisco Guerrero,5,"['ave', 'virgo', 'sanctissima']",,"['hail', 'holy', 'virgin']"
